mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006491613388061523,0.0006484096024344464,0.004016447067260742,0.0014162313606804102,gini,,,1,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6793064024390244,0.7119628339140535,0.7297453703703703,0.7309992283950617,0.6696566358024691,0.7043340941841958,0.025471048206413282,574,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0050852298736572266,0.0010575095678024612,0.004631423950195312,0.0020251299292429943,gini,,,1,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6866425304878048,0.7197057684862562,0.7176890432098765,0.746045524691358,0.6765046296296297,0.7093174993009851,0.02497112476404731,571,0.9971885369532428,0.9984375,0.9947973054252376,0.9970287501503668,0.9949957897269337,0.9964895764511562,0.0013905998861041841
0.005467510223388672,0.001591391623988343,0.004150962829589844,0.00022517463371903119,gini,,,1,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7620998475609755,0.7586140147115757,0.7682291666666667,0.7371720679012346,0.7152777777777779,0.7482785749236461,0.01953602884070154,496,0.9789984917043741,0.9844591346153846,0.9802478046433297,0.9881089859256587,0.9821364128473475,0.9827901659472189,0.003235524379674043
0.004867696762084961,0.000970000011450989,0.0034475803375244142,0.0005278881404235924,gini,,,1,20,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7449504573170732,0.7912311265969802,0.8015046296296298,0.7841435185185185,0.771508487654321,0.7786676439433047,0.019480535961560776,297,0.947734539969834,0.9492908653846153,0.9616323830145554,0.9641104294478529,0.9483279201251053,0.9542192275883925,0.007125141103808832
0.005626869201660156,0.0007716714735264616,0.0038774967193603515,0.0008215958422959803,gini,,,2,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6720655487804877,0.7078977932636468,0.7442129629629629,0.7309027777777777,0.6931905864197532,0.7096539338409256,0.025818026229747524,570,0.9930377073906486,0.9960877403846153,0.992168892096716,0.9953025381931915,0.9939071334055094,0.9941008022941361,0.0014347158303730113
0.0054572105407714845,0.0008122295619246534,0.0030652999877929686,0.0009408806535460361,gini,,,2,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6573932926829269,0.7140921409214092,0.7488425925925926,0.736111111111111,0.7123842592592592,0.7137646793134598,0.03133550393845671,564,0.9918733031674208,0.9946935096153846,0.9899554913990136,0.9919944664982557,0.9922831709370865,0.9921599883234322,0.001510185196334601
0.005887222290039062,0.0009808478264804604,0.0032299518585205077,0.0024405241821952167,gini,,,2,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.6955030487804877,0.7610336817653891,0.781057098765432,0.7550154320987654,0.7319637345679012,0.7449145991955951,0.029248446565295776,515,0.9752518853695324,0.9823918269230769,0.9764645735594852,0.9823048237699988,0.9751533742331289,0.9783132967710445,0.0033269151991691085
0.004819250106811524,0.001058760925845249,0.004783725738525391,0.0026539971463043115,gini,,,2,20,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.750095274390244,0.794618660472319,0.7896412037037037,0.7823109567901235,0.785300925925926,0.7803934042564633,0.015707432374955508,261,0.945683257918552,0.9479567307692308,0.9594791290749429,0.9605316973415133,0.944003368218453,0.9515308366645385,0.0070401993795034465
0.004717397689819336,0.0009709491462793618,0.003737068176269531,0.0011001986530733802,gini,,,4,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7271341463414634,0.7791327913279134,0.8042052469135802,0.7759452160493827,0.7258873456790123,0.7624609492622704,0.03094502751241226,390,0.9710346907993967,0.9786358173076923,0.9715445687477444,0.9769998797064839,0.9750691687718032,0.9746568250666241,0.002976518357923561
0.004809236526489258,0.0009800107179113692,0.003202676773071289,0.0003991365140786504,gini,,,4,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7271341463414634,0.7791327913279134,0.8042052469135802,0.7759452160493827,0.7258873456790123,0.7624609492622704,0.03094502751241226,390,0.9710346907993967,0.9786358173076923,0.9715445687477444,0.9769998797064839,0.9750691687718032,0.9746568250666241,0.002976518357923561
0.004210853576660156,0.0007477405339229534,0.003709077835083008,0.0009677011578462072,gini,,,4,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7243711890243902,0.7749709639953543,0.8038194444444444,0.7731481481481481,0.7252121913580247,0.7603043873940722,0.03097188343421712,401,0.970708898944193,0.9770492788461539,0.9692349332370985,0.9722543004932034,0.9713881871767112,0.9721271197394721,0.002652015819583005
