,Unnamed: 0,stalk_height,cap_diameter
Unnamed: 0,1.0,-0.0015075222854158874,0.05188122104711487
stalk_height,-0.0015075222854158874,1.0,-0.0034856859763235082
cap_diameter,0.05188122104711487,-0.0034856859763235082,1.0
