metric,baseline,tuned,delta
accuracy,0.94175,0.96175,0.020000000000000018
precision_macro,0.9425718585241367,0.9620157828343546,0.019443924310217908
recall_macro,0.9414119570644849,0.9616070187215804,0.020195061657095503
f1_macro,0.9415497778865703,0.9615905376486279,0.020040759762057547
precision_weighted,0.9428214963664228,0.9621908960253778,0.01936939965895501
recall_weighted,0.94175,0.96175,0.020000000000000018
f1_weighted,0.9418446995258499,0.9617487297352486,0.019904030209398682
