Model,Accuracy,Precision,Recall,F1,ROC_AUC
LightGBM,0.8044692737430168,0.75,0.7391304347826086,0.7445255474452555,0.8346508563899868
XGBoost,0.8156424581005587,0.7903225806451613,0.7101449275362319,0.7480916030534351,0.8353096179183136
