iter,num_layers,units,activation,dropout,learning_rate,optimizer,batch_size,val_loss,val_acc,test_acc,train_epochs_ran,duration_sec
13,2,256,elu,0.2,0.001,adam,32,0.12594956159591675,0.9629166722297668,0.96175,50,49.2426540851593
1,3,128,relu,0.0,0.0005,adam,128,0.15746216475963593,0.9516666531562805,0.954,50,16.896305084228516
14,1,64,elu,0.0,0.005,adam,128,0.2134108543395996,0.9416666626930237,0.93825,50,13.129839897155762
19,2,64,relu,0.0,0.01,adam,32,0.26324206590652466,0.934166669845581,0.92725,18,13.072978496551514
11,1,64,relu,0.2,0.005,adam,64,0.2868935167789459,0.918749988079071,0.9195,50,21.459308862686157
6,3,256,elu,0.0,0.005,sgd,32,0.35120704770088196,0.8983333110809326,0.896,50,47.838085651397705
2,1,256,relu,0.0,0.0001,adam,32,0.3869653046131134,0.8933333158493042,0.89275,50,40.731831312179565
20,1,64,relu,0.4,0.005,adam,128,0.36968645453453064,0.8966666460037231,0.8915,50,14.261758804321289
18,1,32,elu,0.2,0.005,adam,32,0.42333218455314636,0.8804166913032532,0.87975,50,35.15466547012329
3,1,64,elu,0.4,0.01,adam,64,0.38420405983924866,0.8924999833106995,0.877,50,22.319671630859375
4,1,64,elu,0.2,0.001,adam,64,0.4123360216617584,0.8833333253860474,0.8765,50,22.31968879699707
17,1,32,elu,0.2,0.01,adam,128,0.4087126553058624,0.8891666531562805,0.872,50,13.660995483398438
16,2,32,tanh,0.2,0.0005,adam,64,0.6321673393249512,0.8237500190734863,0.81925,50,25.55397939682007
10,1,256,tanh,0.2,0.01,sgd,32,0.7046313881874084,0.8191666603088379,0.81075,50,35.00314211845398
7,2,64,elu,0.0,0.0001,adam,128,0.7000700235366821,0.8195833563804626,0.8,50,14.264240264892578
9,1,128,elu,0.4,0.0001,adam,128,0.9531883001327515,0.7670833468437195,0.75075,50,15.062347173690796
15,3,256,elu,0.2,0.01,adam,32,0.9590399265289307,0.7520833611488342,0.73825,15,17.87024235725403
12,3,128,relu,0.4,0.005,sgd,64,0.9487605690956116,0.7320833206176758,0.72725,50,27.390065908432007
8,1,32,tanh,0.2,0.005,sgd,128,1.4471908807754517,0.6604166626930237,0.65625,50,13.280767679214478
5,1,32,tanh,0.0,0.001,sgd,64,2.0330734252929688,0.5174999833106995,0.518,50,20.74599599838257
