,0,1,2,3,4,5
Balance,-0.2706546387721537,0.42830214082986556,0.6081550347446477,-0.04688966369288365,0.5592333046972697,0.36340700362871164
Qual_miles,-0.1746272771746403,-0.13843683717143765,0.3221550647438366,-0.15623559993901898,-0.10141055041581551,4.341198966558039
cc1_miles,-0.5922967937991855,1.1718743912585126,0.26966051920239675,-0.6682272725898439,0.9655905279422967,-0.14380012827376146
cc2_miles,-0.0982418870817467,-0.0982418870817467,-0.0982418870817467,9.03825361152073,-0.0982418870817467,-0.0982418870817467
cc3_miles,-0.062766579842471,-0.062766579842471,-0.062766579842471,-0.062766579842471,13.881875241826538,-0.062766579842471
Bonus_miles,-0.5083965634360676,0.8858035822821301,0.8049264894031514,-0.10166532581060897,2.8621497215546094,0.0033880860961585926
Bonus_trans,-0.4888563083546548,0.7374600721376791,1.8470563747841369,0.6178511429880418,1.5225363241465417,-0.05306815648612632
Flight_miles_12mo,-0.17516931201137745,-0.08618685144547024,3.896667481227978,0.0875493988819788,-0.027023300343926006,0.1907796988867466
Flight_trans_12,-0.1845230784416972,-0.09079884781757919,4.024804418875736,0.22034680891726421,-0.010615151476864001,0.23614781437649493
Days_since_enroll,-0.16912475224627121,0.30893403745881887,0.23296712656978918,-0.07246398053267067,0.1792932510068584,0.02057966181402808
Award?,-0.3850927681164865,0.6248448370017337,0.7941735541993563,0.05178388241373733,0.2684994303152279,0.4755831760877633
