,0,1,2,3,4,5
Balance,0.43374363045910647,-0.2985168263181186,1.1368683338462222,-0.04688966369288365,0.6397192564354514,0.4571036485442417
Qual_miles,-0.10803333889799567,-0.13143541704001918,0.4142612993094099,-0.15623559993901898,-0.0844329231260675,6.731091941141303
cc1_miles,1.1955658681297758,-0.604365994443862,0.13454930024827133,-0.6682272725898439,1.022084400195045,-0.04322861942820945
cc2_miles,-0.0982418870817467,-0.0982418870817467,-0.0982418870817467,9.03825361152073,-0.0982418870817467,-0.0982418870817467
cc3_miles,-0.05459016885203035,-0.06070437312527653,-0.062766579842471,-0.062766579842471,15.646299309058127,-0.062766579842471
Bonus_miles,0.9163884560732629,-0.5190461127590741,0.656400875157367,-0.10166532581060897,3.179691310351897,0.06371676788222633
Bonus_trans,0.7458250276202295,-0.49705192018458216,1.705486464896455,0.6178511429880418,1.7146137430373618,0.06535803862483511
Flight_miles_12mo,-0.08046427725265849,-0.18705621048108056,3.771077132802571,0.0875493988819788,0.03329269125848017,0.3596937987051682
Flight_trans_12,-0.08840285394891192,-0.1996596537732977,4.002125580918106,0.22034680891726421,0.05969539221833963,0.3942467907024848
Days_since_enroll,0.37662344564857586,-0.20405660947527934,0.2715379868488028,-0.07246398053267067,0.2398726124996916,-0.07122343614820952
Award?,0.5783813324090059,-0.3550860843299271,0.8839581153035325,0.05178388241373733,0.33752734557273967,0.38731797297160064
